时间(s),器件类型,中心温度(℃),引脚温度(℃)
10.95,陶封芯片,37.35,41.42
11.34,贴片电阻,39.89,42.01
11.34,贴片电容,41.8,42.01
11.34,塑封芯片,35.48,42.01
11.34,陶封芯片,38.73,42.01
11.73,贴片电阻,40.2,42.6
11.73,贴片电容,39.83,42.6
11.73,塑封芯片,35.96,42.6
11.73,陶封芯片,39.15,42.6
12.12,贴片电阻,41.55,43.18
12.12,贴片电容,42.8,43.18
12.12,塑封芯片,37.38,43.18
12.12,陶封芯片,40.57,43.18
12.51,贴片电阻,42.9,43.77
12.51,贴片电容,41.66,43.77
12.51,塑封芯片,38.34,43.77
12.51,陶封芯片,40.3,43.77
12.9,贴片电阻,41.77,44.35
12.9,贴片电容,43.98,44.35
12.9,塑封芯片,37.95,44.35
12.9,陶封芯片,40.87,44.35
13.29,贴片电阻,42.24,44.94
13.29,贴片电容,43.84,44.94
13.29,塑封芯片,39.3,44.94
13.29,陶封芯片,39.96,44.94
13.69,贴片电阻,44.65,45.53
13.69,贴片电容,45.08,45.53
13.69,塑封芯片,39.31,45.53
13.69,陶封芯片,40.61,45.53
14.08,贴片电阻,44.29,46.11
14.08,贴片电容,45.59,46.11
14.08,塑封芯片,39.06,46.11
14.08,陶封芯片,43.84,46.11
14.47,贴片电阻,44.38,46.7
14.47,贴片电容,45.8,46.7
14.47,塑封芯片,41.36,46.7
14.47,陶封芯片,44.63,46.7
14.86,贴片电阻,46.59,47.29
14.86,贴片电容,44.68,47.29
14.86,塑封芯片,42.1,47.29
14.86,陶封芯片,42.37,47.29
15.25,贴片电阻,47.47,47.87
15.25,贴片电容,45.6,47.87
15.25,塑封芯片,39.94,47.87
15.25,陶封芯片,43.06,47.87
15.64,贴片电阻,47.5,48.46
15.64,贴片电容,47.0,48.46
15.64,塑封芯片,42.97,48.46
15.64,陶封芯片,43.58,48.46
16.03,贴片电阻,47.92,49.05
16.03,贴片电容,47.7,49.05
16.03,塑封芯片,43.62,49.05
16.03,陶封芯片,44.89,49.05
16.42,贴片电阻,47.43,49.63
16.42,贴片电容,48.18,49.63
16.42,塑封芯片,42.39,49.63
16.42,陶封芯片,47.26,49.63
16.81,贴片电阻,48.84,50.22
16.81,贴片电容,49.09,50.22
16.81,塑封芯片,44.99,50.22
16.81,陶封芯片,47.44,50.22
17.2,贴片电阻,50.78,50.81
17.2,贴片电容,50.26,50.81
17.2,塑封芯片,44.36,50.81
17.2,陶封芯片,48.01,50.81
17.6,贴片电阻,49.76,51.39
17.6,贴片电容,48.47,51.39
17.6,塑封芯片,44.72,51.39
17.6,陶封芯片,46.53,51.39
17.99,贴片电阻,50.37,51.98
17.99,贴片电容,51.78,51.98
17.99,塑封芯片,46.73,51.98
17.99,陶封芯片,49.75,51.98
18.38,贴片电阻,50.19,52.57
18.38,贴片电容,50.65,52.57
18.38,塑封芯片,44.96,52.57
18.38,陶封芯片,50.17,52.57
18.77,贴片电阻,51.83,53.15
18.77,贴片电容,50.71,53.15
18.77,塑封芯片,46.07,53.15
18.77,陶封芯片,50.4,53.15
19.16,贴片电阻,50.86,53.74
19.16,贴片电容,53.64,53.74
19.16,塑封芯片,48.23,53.74
19.16,陶封芯片,49.95,53.74
19.55,贴片电阻,53.38,54.33
19.55,贴片电容,54.18,54.33
19.55,塑封芯片,47.74,54.33
19.55,陶封芯片,49.7,54.33
19.94,贴片电阻,52.68,54.91
19.94,贴片电容,53.66,54.91
19.94,塑封芯片,48.29,54.91
19.94,陶封芯片,50.24,54.91
20.33,贴片电阻,54.45,55.5
20.33,贴片电容,54.15,55.5
20.33,塑封芯片,50.5,55.5
20.33,陶封芯片,53.0,55.5
20.72,贴片电阻,55.82,56.09
20.72,贴片电容,55.35,56.09
20.72,塑封芯片,48.19,56.09
20.72,陶封芯片,51.58,56.09
21.11,贴片电阻,54.67,56.67
21.11,贴片电容,54.37,56.67
21.11,塑封芯片,51.63,56.67
21.11,陶封芯片,54.2,56.67
21.51,贴片电阻,55.38,57.26
21.51,贴片电容,56.9,57.26
21.51,塑封芯片,51.55,57.26
21.51,陶封芯片,52.95,57.26
21.9,贴片电阻,57.08,57.84
21.9,贴片电容,56.37,57.84
21.9,塑封芯片,50.56,57.84
21.9,陶封芯片,55.54,57.84
22.29,贴片电阻,56.42,58.43
22.29,贴片电容,56.5,58.43
22.29,塑封芯片,52.65,58.43
22.29,陶封芯片,54.37,58.43
22.68,贴片电阻,56.25,59.02
22.68,贴片电容,58.14,59.02
22.68,塑封芯片,52.29,59.02
22.68,陶封芯片,56.96,59.02
23.07,贴片电阻,57.51,59.6
23.07,贴片电容,57.44,59.6
23.07,塑封芯片,53.2,59.6
23.07,陶封芯片,57.08,59.6
23.46,贴片电阻,57.91,60.19
23.46,贴片电容,58.22,60.19
23.46,塑封芯片,52.53,60.19
23.46,陶封芯片,57.55,60.19
23.85,贴片电阻,57.81,60.78
23.85,贴片电容,60.56,60.78
23.85,塑封芯片,54.6,60.78
23.85,陶封芯片,56.34,60.78
24.24,贴片电阻,60.01,61.36
24.24,贴片电容,58.89,61.36
24.24,塑封芯片,54.52,61.36
24.24,陶封芯片,57.81,61.36
24.63,贴片电阻,59.92,61.95
24.63,贴片电容,60.04,61.95
24.63,塑封芯片,54.9,61.95
24.63,陶封芯片,59.67,61.95
25.02,贴片电阻,60.38,62.54
25.02,贴片电容,61.63,62.54
25.02,塑封芯片,54.59,62.54
25.02,陶封芯片,58.63,62.54
25.42,贴片电阻,61.77,63.12
25.42,贴片电容,62.29,63.12
25.42,塑封芯片,56.67,63.12
25.42,陶封芯片,58.57,63.12
25.81,贴片电阻,63.58,63.71
25.81,贴片电容,62.04,63.71
25.81,塑封芯片,57.87,63.71
25.81,陶封芯片,61.3,63.71
26.2,贴片电阻,64.28,64.3
26.2,贴片电容,61.79,64.3
26.2,塑封芯片,58.41,64.3
26.2,陶封芯片,59.59,64.3
26.59,贴片电阻,63.03,64.88
26.59,贴片电容,63.47,64.88
26.59,塑封芯片,59.63,64.88
26.59,陶封芯片,60.36,64.88
26.98,贴片电阻,63.72,65.47
26.98,贴片电容,65.31,65.47
26.98,塑封芯片,60.35,65.47
26.98,陶封芯片,61.77,65.47
27.37,贴片电阻,63.17,66.06
27.37,贴片电容,63.16,66.06
27.37,塑封芯片,59.87,66.06
27.37,陶封芯片,61.19,66.06
27.76,贴片电阻,64.5,66.64
27.76,贴片电容,64.21,66.64
27.76,塑封芯片,61.34,66.64
27.76,陶封芯片,63.24,66.64
28.15,贴片电阻,64.69,67.23
28.15,贴片电容,64.35,67.23
28.15,塑封芯片,59.48,67.23
28.15,陶封芯片,64.87,67.23
28.54,贴片电阻,65.97,67.82
28.54,贴片电容,65.79,67.82
28.54,塑封芯片,60.61,67.82
28.54,陶封芯片,63.9,67.82
28.93,贴片电阻,66.95,68.4
28.93,贴片电容,66.72,68.4
28.93,塑封芯片,63.25,68.4
28.93,陶封芯片,63.73,68.4
29.33,贴片电阻,67.08,68.99
29.33,贴片电容,67.92,68.99
29.33,塑封芯片,62.89,68.99
29.33,陶封芯片,65.14,68.99
29.72,贴片电阻,68.57,69.57
29.72,贴片电容,68.78,69.57
29.72,塑封芯片,63.5,69.57
29.72,陶封芯片,65.07,69.57
30.11,贴片电阻,69.78,70.16
30.11,贴片电容,69.29,70.16
30.11,塑封芯片,63.0,70.16
30.11,陶封芯片,66.32,70.16
30.5,贴片电阻,67.96,70.75
30.5,贴片电容,68.43,70.75
30.5,塑封芯片,65.01,70.75
30.5,陶封芯片,67.98,70.75
30.89,贴片电阻,68.53,71.33
30.89,贴片电容,69.42,71.33
30.89,塑封芯片,63.42,71.33
30.89,陶封芯片,68.65,71.33
31.28,贴片电阻,70.56,71.92
31.28,贴片电容,71.02,71.92
31.28,塑封芯片,65.53,71.92
31.28,陶封芯片,68.38,71.92
31.67,贴片电阻,70.47,72.51
31.67,贴片电容,70.67,72.51
31.67,塑封芯片,64.88,72.51
31.67,陶封芯片,69.18,72.51
32.06,贴片电阻,70.56,73.09
32.06,贴片电容,71.84,73.09
32.06,塑封芯片,67.95,73.09
32.06,陶封芯片,68.56,73.09
32.45,贴片电阻,71.9,73.68
32.45,贴片电容,73.51,73.68
32.45,塑封芯片,66.99,73.68
32.45,陶封芯片,71.12,73.68
32.84,贴片电阻,73.91,74.27
32.84,贴片电容,71.54,74.27
32.84,塑封芯片,67.48,74.27
32.84,陶封芯片,70.48,74.27
33.24,贴片电阻,72.49,74.85
33.24,贴片电容,73.53,74.85
33.24,塑封芯片,67.23,74.85
33.24,陶封芯片,71.47,74.85
33.63,贴片电阻,73.84,75.44
33.63,贴片电容,75.2,75.44
33.63,塑封芯片,68.03,75.44
33.63,陶封芯片,71.44,75.44
34.02,贴片电阻,73.57,76.03
34.02,贴片电容,74.96,76.03
34.02,塑封芯片,68.61,76.03
34.02,陶封芯片,72.09,76.03
34.41,贴片电阻,74.12,76.61
34.41,贴片电容,75.55,76.61
34.41,塑封芯片,69.07,76.61
34.41,陶封芯片,71.81,76.61
34.8,贴片电阻,75.83,77.2
34.8,贴片电容,76.09,77.2
34.8,塑封芯片,71.44,77.2
34.8,陶封芯片,73.73,77.2
35.19,贴片电阻,77.69,77.79
35.19,贴片电容,74.79,77.79
35.19,塑封芯片,71.84,77.79
35.19,陶封芯片,73.93,77.79
35.58,贴片电阻,77.42,78.37
35.58,贴片电容,77.39,78.37
35.58,塑封芯片,72.41,78.37
35.58,陶封芯片,74.61,78.37
35.97,贴片电阻,76.19,78.96
35.97,贴片电容,77.15,78.96
35.97,塑封芯片,73.13,78.96
35.97,陶封芯片,76.64,78.96
36.36,贴片电阻,78.28,79.55
36.36,贴片电容,78.69,79.55
36.36,塑封芯片,73.22,79.55
36.36,陶封芯片,75.89,79.55
36.75,贴片电阻,78.78,80.13
36.75,贴片电容,79.0,80.13
36.75,塑封芯片,75.1,80.13
36.75,陶封芯片,77.95,80.13
37.15,贴片电阻,77.83,80.72
37.15,贴片电容,80.04,80.72
37.15,塑封芯片,74.69,80.72
37.15,陶封芯片,78.04,80.72
37.54,贴片电阻,79.25,81.3
37.54,贴片电容,78.33,81.3
37.54,塑封芯片,73.92,81.3
37.54,陶封芯片,77.43,81.3
37.93,贴片电阻,80.54,81.89
37.93,贴片电容,79.15,81.89
37.93,塑封芯片,76.85,81.89
37.93,陶封芯片,77.99,81.89
38.32,贴片电阻,80.39,82.48
38.32,贴片电容,81.66,82.48
38.32,塑封芯片,76.05,82.48
38.32,陶封芯片,79.1,82.48
38.71,贴片电阻,80.52,83.06
38.71,贴片电容,81.07,83.06
38.71,塑封芯片,76.84,83.06
38.71,陶封芯片,80.62,83.06
39.1,贴片电阻,81.55,83.65
39.1,贴片电容,83.22,83.65
39.1,塑封芯片,77.79,83.65
39.1,陶封芯片,78.68,83.65
39.49,贴片电阻,81.96,84.24
39.49,贴片电容,83.93,84.24
39.49,塑封芯片,76.52,84.24
39.49,陶封芯片,79.37,84.24
39.88,贴片电阻,84.65,84.82
39.88,贴片电容,84.52,84.82
39.88,塑封芯片,78.61,84.82
39.88,陶封芯片,80.36,84.82
40.27,贴片电阻,85.4,85.41
40.27,贴片电容,85.03,85.41
40.27,塑封芯片,79.4,85.41
40.27,陶封芯片,83.02,85.41
40.66,贴片电阻,84.38,86.0
40.66,贴片电容,83.81,86.0
40.66,塑封芯片,80.65,86.0
40.66,陶封芯片,83.3,86.0
41.06,贴片电阻,84.3,86.58
41.06,贴片电容,84.24,86.58
41.06,塑封芯片,80.27,86.58
41.06,陶封芯片,81.59,86.58
41.45,贴片电阻,85.65,87.17
41.45,贴片电容,84.3,87.17
41.45,塑封芯片,79.8,87.17
41.45,陶封芯片,82.83,87.17
41.84,贴片电阻,85.68,87.76
41.84,贴片电容,86.96,87.76
41.84,塑封芯片,81.31,87.76
41.84,陶封芯片,83.47,87.76
42.23,贴片电阻,85.46,88.34
42.23,贴片电容,88.06,88.34
42.23,塑封芯片,81.25,88.34
42.23,陶封芯片,85.3,88.34
42.62,贴片电阻,86.14,88.93
42.62,贴片电容,87.57,88.93
42.62,塑封芯片,83.47,88.93
42.62,陶封芯片,86.06,88.93
43.01,贴片电阻,88.37,89.52
43.01,贴片电容,88.79,89.52
43.01,塑封芯片,82.58,89.52
43.01,陶封芯片,85.2,89.52
43.4,贴片电阻,87.85,90.1
43.4,贴片电容,88.26,90.1
43.4,塑封芯片,85.1,90.1
43.4,陶封芯片,87.25,90.1
43.79,贴片电阻,88.89,90.69
43.79,贴片电容,89.11,90.69
43.79,塑封芯片,83.27,90.69
43.79,陶封芯片,87.19,90.69
44.18,贴片电阻,89.04,91.28
44.18,贴片电容,91.02,91.28
44.18,塑封芯片,86.14,91.28
44.18,陶封芯片,86.86,91.28
44.57,贴片电阻,90.68,91.86
44.57,贴片电容,90.88,91.86
44.57,塑封芯片,85.6,91.86
44.57,陶封芯片,88.17,91.86
44.97,贴片电阻,90.95,92.45
44.97,贴片电容,91.51,92.45
44.97,塑封芯片,85.08,92.45
44.97,陶封芯片,89.09,92.45
45.36,贴片电阻,91.02,93.04
45.36,贴片电容,92.68,93.04
45.36,塑封芯片,86.4,93.04
45.36,陶封芯片,89.33,93.04
45.75,贴片电阻,92.47,93.62
45.75,贴片电容,92.37,93.62
45.75,塑封芯片,87.59,93.62
45.75,陶封芯片,90.34,93.62
46.14,贴片电阻,93.08,94.21
46.14,贴片电容,92.04,94.21
46.14,塑封芯片,86.44,94.21
46.14,陶封芯片,91.8,94.21
46.53,贴片电阻,93.31,94.79
46.53,贴片电容,93.43,94.79
46.53,塑封芯片,88.63,94.79
46.53,陶封芯片,91.43,94.79
46.92,贴片电阻,95.13,95.38
46.92,贴片电容,93.44,95.38
46.92,塑封芯片,87.99,95.38
46.92,陶封芯片,91.26,95.38
47.31,贴片电阻,95.63,95.97
47.31,贴片电容,94.73,95.97
47.31,塑封芯片,90.33,95.97
47.31,陶封芯片,92.81,95.97
47.7,贴片电阻,93.63,96.55
47.7,贴片电容,95.71,96.55
47.7,塑封芯片,89.08,96.55
47.7,陶封芯片,93.21,96.55
48.09,贴片电阻,94.76,97.14
48.09,贴片电容,94.46,97.14
48.09,塑封芯片,90.68,97.14
48.09,陶封芯片,95.08,97.14
48.48,贴片电阻,94.89,97.73
48.48,贴片电容,95.08,97.73
48.48,塑封芯片,92.64,97.73
48.48,陶封芯片,95.39,97.73
48.88,贴片电阻,95.32,98.31
48.88,贴片电容,97.48,98.31
48.88,塑封芯片,93.06,98.31
48.88,陶封芯片,94.57,98.31
49.27,贴片电阻,98.63,98.9
49.27,贴片电容,96.02,98.9
49.27,塑封芯片,92.87,98.9
49.27,陶封芯片,93.96,98.9
49.66,贴片电阻,99.29,99.49
49.66,贴片电容,97.81,99.49
49.66,塑封芯片,92.22,99.49
49.66,陶封芯片,95.65,99.49
50.05,贴片电阻,98.22,100.07
50.05,贴片电容,99.41,100.07
50.05,塑封芯片,92.82,100.07
50.05,陶封芯片,97.23,100.07
50.44,贴片电阻,99.62,100.66
50.44,贴片电容,98.42,100.66
50.44,塑封芯片,94.69,100.66
50.44,陶封芯片,96.77,100.66
50.83,贴片电阻,100.02,101.25
50.83,贴片电容,99.26,101.25
50.83,塑封芯片,95.75,101.25
50.83,陶封芯片,96.42,101.25
51.22,贴片电阻,101.65,101.83
51.22,贴片电容,101.42,101.83
51.22,塑封芯片,93.9,101.83
51.22,陶封芯片,97.7,101.83
51.61,贴片电阻,102.22,102.42
51.61,贴片电容,100.16,102.42
51.61,塑封芯片,96.86,102.42
51.61,陶封芯片,99.04,102.42
52.0,贴片电阻,101.35,103.01
52.0,贴片电容,101.33,103.01
52.0,塑封芯片,97.88,103.01
52.0,陶封芯片,99.23,103.01
52.39,贴片电阻,101.71,103.59
52.39,贴片电容,101.33,103.59
52.39,塑封芯片,97.9,103.59
52.39,陶封芯片,100.57,103.59
52.79,贴片电阻,101.65,104.18
52.79,贴片电容,103.7,104.18
52.79,塑封芯片,98.79,104.18
52.79,陶封芯片,102.16,104.18
53.18,贴片电阻,104.33,104.77
53.18,贴片电容,104.53,104.77
53.18,塑封芯片,97.89,104.77
53.18,陶封芯片,101.92,104.77
53.57,贴片电阻,103.05,105.35
53.57,贴片电容,102.38,105.35
53.57,塑封芯片,98.64,105.35
53.57,陶封芯片,102.5,105.35
53.96,贴片电阻,104.2,105.94
53.96,贴片电容,105.33,105.94
53.96,塑封芯片,100.91,105.94
53.96,陶封芯片,102.96,105.94
54.35,贴片电阻,105.94,106.52
54.35,贴片电容,105.21,106.52
54.35,塑封芯片,99.8,106.52
54.35,陶封芯片,103.24,106.52
54.74,贴片电阻,104.57,107.11
54.74,贴片电容,105.99,107.11
54.74,塑封芯片,100.83,107.11
54.74,陶封芯片,102.5,107.11
55.13,贴片电阻,107.48,107.7
55.13,贴片电容,106.24,107.7
55.13,塑封芯片,99.79,107.7
55.13,陶封芯片,104.5,107.7
55.52,贴片电阻,107.84,108.28
55.52,贴片电容,107.22,108.28
55.52,塑封芯片,101.96,108.28
55.52,陶封芯片,105.2,108.28
55.91,贴片电阻,106.31,108.87
55.91,贴片电容,105.99,108.87
55.91,塑封芯片,103.28,108.87
55.91,陶封芯片,106.05,108.87
56.3,贴片电阻,108.26,109.46
56.3,贴片电容,108.86,109.46
56.3,塑封芯片,102.28,109.46
56.3,陶封芯片,105.58,109.46
56.7,贴片电阻,107.65,110.04
56.7,贴片电容,107.1,110.04
56.7,塑封芯片,102.52,110.04
56.7,陶封芯片,107.46,110.04
57.09,贴片电阻,108.07,110.63
57.09,贴片电容,108.21,110.63
57.09,塑封芯片,103.42,110.63
57.09,陶封芯片,106.11,110.63
57.48,贴片电阻,109.76,111.22
57.48,贴片电容,109.47,111.22
57.48,塑封芯片,103.44,111.22
57.48,陶封芯片,108.14,111.22
57.87,贴片电阻,109.84,111.8
57.87,贴片电容,110.31,111.8
57.87,塑封芯片,105.94,111.8
57.87,陶封芯片,109.01,111.8
58.26,贴片电阻,111.8,112.39
58.26,贴片电容,112.21,112.39
58.26,塑封芯片,105.39,112.39
58.26,陶封芯片,109.5,112.39
58.65,贴片电阻,110.06,112.98
58.65,贴片电容,112.59,112.98
58.65,塑封芯片,106.99,112.98
58.65,陶封芯片,108.6,112.98
59.04,贴片电阻,112.11,113.56
59.04,贴片电容,111.01,113.56
59.04,塑封芯片,108.06,113.56
59.04,陶封芯片,110.74,113.56
59.43,贴片电阻,111.98,114.15
59.43,贴片电容,113.35,114.15
59.43,塑封芯片,108.56,114.15
59.43,陶封芯片,111.03,114.15
59.82,贴片电阻,114.14,114.74
59.82,贴片电容,113.72,114.74
59.82,塑封芯片,109.11,114.74
59.82,陶封芯片,110.67,114.74
60.22,贴片电阻,114.89,115.32
60.22,贴片电容,112.84,115.32
60.22,塑封芯片,109.89,115.32
60.22,陶封芯片,110.67,115.32
60.61,贴片电阻,115.33,115.91
60.61,贴片电容,113.08,115.91
60.61,塑封芯片,109.93,115.91
60.61,陶封芯片,112.42,115.91
61.0,贴片电阻,115.91,116.5
61.0,贴片电容,114.48,116.5
61.0,塑封芯片,110.39,116.5
61.0,陶封芯片,112.42,116.5
61.39,贴片电阻,114.73,117.08
61.39,贴片电容,116.06,117.08
61.39,塑封芯片,109.54,117.08
61.39,陶封芯片,113.2,117.08
61.78,贴片电阻,117.6,117.67
61.78,贴片电容,116.08,117.67
61.78,塑封芯片,112.54,117.67
61.78,陶封芯片,112.81,117.67
62.17,贴片电阻,115.44,118.26
62.17,贴片电容,117.51,118.26
62.17,塑封芯片,112.79,118.26
62.17,陶封芯片,116.03,118.26
62.56,贴片电阻,116.3,118.84
62.56,贴片电容,117.22,118.84
62.56,塑封芯片,111.47,118.84
62.56,陶封芯片,116.61,118.84
62.95,贴片电阻,119.03,119.43
62.95,贴片电容,118.48,119.43
62.95,塑封芯片,113.82,119.43
62.95,陶封芯片,117.22,119.43
63.34,贴片电阻,119.81,120.01
63.34,贴片电容,119.95,120.01
63.34,塑封芯片,113.79,120.01
63.34,陶封芯片,117.56,120.01
63.73,贴片电阻,119.69,120.6
63.73,贴片电容,119.7,120.6
63.73,塑封芯片,115.08,120.6
63.73,陶封芯片,116.22,120.6
64.13,贴片电阻,118.49,121.19
64.13,贴片电容,120.43,121.19
64.13,塑封芯片,114.93,121.19
64.13,陶封芯片,118.89,121.19
64.52,贴片电阻,119.36,121.77
64.52,贴片电容,120.01,121.77
64.52,塑封芯片,116.42,121.77
64.52,陶封芯片,119.64,121.77
64.91,贴片电阻,121.44,122.36
64.91,贴片电容,121.03,122.36
64.91,塑封芯片,114.47,122.36
64.91,陶封芯片,119.93,122.36
65.3,贴片电阻,121.96,122.95
65.3,贴片电容,122.64,122.95
65.3,塑封芯片,117.71,122.95
65.3,陶封芯片,120.34,122.95
65.69,贴片电阻,121.32,123.53
65.69,贴片电容,122.54,123.53
65.69,塑封芯片,118.2,123.53
65.69,陶封芯片,119.75,123.53
66.08,贴片电阻,123.62,124.12
66.08,贴片电容,122.85,124.12
66.08,塑封芯片,117.12,124.12
66.08,陶封芯片,120.32,124.12
66.47,贴片电阻,124.11,124.71
66.47,贴片电容,122.44,124.71
66.47,塑封芯片,118.85,124.71
66.47,陶封芯片,120.23,124.71
66.86,贴片电阻,123.49,125.29
66.86,贴片电容,122.82,125.29
66.86,塑封芯片,119.79,125.29
66.86,陶封芯片,122.46,125.29
67.25,贴片电阻,124.62,125.88
67.25,贴片电容,123.95,125.88
67.25,塑封芯片,120.45,125.88
67.25,陶封芯片,121.15,125.88
67.64,贴片电阻,123.65,126.47
67.64,贴片电容,125.91,126.47
67.64,塑封芯片,118.5,126.47
67.64,陶封芯片,122.02,126.47
68.04,贴片电阻,125.09,127.05
68.04,贴片电容,125.31,127.05
68.04,塑封芯片,120.76,127.05
68.04,陶封芯片,124.49,127.05
68.43,贴片电阻,125.53,127.64
68.43,贴片电容,127.15,127.64
68.43,塑封芯片,120.92,127.64
68.43,陶封芯片,124.4,127.64
68.82,贴片电阻,125.59,128.23
68.82,贴片电容,127.52,128.23
68.82,塑封芯片,123.08,128.23
68.82,陶封芯片,125.94,128.23
69.21,贴片电阻,125.81,128.81
69.21,贴片电容,127.06,128.81
69.21,塑封芯片,123.38,128.81
69.21,陶封芯片,126.3,128.81
69.6,贴片电阻,128.83,129.4
69.6,贴片电容,128.02,129.4
69.6,塑封芯片,122.67,129.4
69.6,陶封芯片,127.04,129.4
69.99,贴片电阻,129.04,129.99
69.99,贴片电容,129.64,129.99
69.99,塑封芯片,124.71,129.99
69.99,陶封芯片,126.21,129.99
70.38,贴片电阻,129.83,130.57
70.38,贴片电容,130.03,130.57
70.38,塑封芯片,124.06,130.57
70.38,陶封芯片,126.74,130.57
70.77,贴片电阻,130.4,131.16
70.77,贴片电容,128.46,131.16
70.77,塑封芯片,125.94,131.16
70.77,陶封芯片,126.66,131.16
71.16,贴片电阻,130.62,131.74
71.16,贴片电容,131.51,131.74
71.16,塑封芯片,125.33,131.74
71.16,陶封芯片,127.27,131.74
71.55,贴片电阻,129.41,132.33
71.55,贴片电容,129.47,132.33
71.55,塑封芯片,126.16,132.33
71.55,陶封芯片,127.71,132.33
71.95,贴片电阻,131.85,132.92
71.95,贴片电容,131.84,132.92
71.95,塑封芯片,125.93,132.92
71.95,陶封芯片,128.61,132.92
72.34,贴片电阻,131.4,133.5
72.34,贴片电容,133.3,133.5
72.34,塑封芯片,126.31,133.5
72.34,陶封芯片,129.61,133.5
72.73,贴片电阻,133.89,134.09
72.73,贴片电容,133.6,134.09
72.73,塑封芯片,126.68,134.09
72.73,陶封芯片,129.94,134.09
73.12,贴片电阻,134.58,134.68
